,ADA,ALGO,ATOM,AVAX,BCH,BNB,BTC,DOGE,DOT,ETC,ETH,FIL,FTT,LINK,LTC,LUNA,MATIC,SOL,TRX,VET,XLM,XRP,avg_QLIKE
LogSHAR,0.3012966712565406,0.25597963432826176,0.23640942659897204,0.24218562617973902,0.3231872705297868,0.2760322934670165,0.3307346193754224,0.4585811075860764,0.24741058120870318,0.3568088106635799,0.2930951335364244,0.36830048314542774,0.6382730026061846,0.23619517929296474,0.27876827815598637,0.40604453912881555,0.26686973527845653,0.25539421513265004,0.32567295871286145,0.2542936296471661,0.307200133371391,0.4761174067099252,0.32431139708692514
LogHAR,0.3004209266436906,0.25473622030690607,0.23610870440563653,0.2421329144921646,0.3200717352983298,0.27477647387376214,0.3301470093807047,0.4566417399907245,0.24685655629998396,0.35501886507190233,0.29286263755293535,0.3616988936871303,0.6366140681219158,0.2356984965486242,0.2774165754744713,0.4383468327104043,0.2633851280946673,0.2541100984280812,0.32720023395246994,0.2542171252922584,0.3073692661049057,0.4720063175082234,0.32444712814726784
AR1Log,0.31306192277846323,0.2605976590570291,0.24078484816061535,0.24812504148351677,0.3203557270721591,0.2872323473669488,0.3284480222029352,0.4680253512688035,0.25770263413012356,0.35817386620986746,0.2945221349953227,0.36390731116778413,0.6155845992945806,0.23972068236913638,0.2814932854834231,0.3788496712032228,0.2689725989110595,0.26305175235629946,0.3394115484854435,0.26376427121668367,0.32054553626723914,0.464675464627664,0.32622755800492376
LogHAR-J,0.2992280823358988,0.2569714524619474,0.23499868453876846,0.2415473488576822,0.31895908895323694,0.2753132403912916,0.32920232548326134,0.451675241739706,0.2468265223670105,0.3609796295155213,0.2927531480457901,0.361483169099344,0.6944986403175163,0.23491724741462672,0.2751039730418905,0.44272269198884845,0.26209177099586145,0.2543923534738336,0.3258305969422417,0.25038482691009617,0.3072260511859577,0.4719525325273849,0.3267753917539871
LogHAR-CJ,0.2933812842363279,0.2514730208042437,0.2346728537626901,0.24099023592262142,0.31929790028159044,0.27254152892723094,0.3249470026062743,0.45631764513312634,0.24170851648391367,0.3625521528456364,0.29501944418225734,0.3546367412573102,0.8882817000368216,0.23226608482939162,0.2774469609129408,0.39920116941396905,0.26221279320995117,0.2557554035444517,0.322688077530316,0.24777071718096816,0.30235839095276157,0.47226769454849915,0.33217215084560425
RW,0.40158625967360984,0.32579648730297045,0.2989749866651938,0.31835406831157875,0.4402882763994391,0.3689095754259969,0.48256388529214583,0.6097845703608977,0.3320205551328247,0.4946557324264981,0.4057055855112199,0.5803910192037046,0.611229811975822,0.3072784303442156,0.36837544989331233,0.23948018010871241,0.33608629556573333,0.34150260333003996,0.4154513048680965,0.3088899830270828,0.40165715495632776,0.6891546226408028,0.4126425835643739
GBRT,0.3132842529527844,0.2606182056476114,0.27360812027561193,0.27238086640002857,0.3415135638349608,0.28879957761424174,0.3699450349687541,0.5603960035578738,0.263217401022186,0.3822072775114776,0.31558638257220434,0.44613900406950013,0.8324283641332398,0.25783128802224814,0.29450140958716403,3.0605036400651553,0.28029107462987835,0.27573668401857027,0.3492727347911779,0.2923972722462815,0.3282976322184141,0.48853183684183854,0.47943125577187296
EWMA,0.39696739023801997,0.36541209277210124,0.32926398496743914,0.34364562439708457,0.41586435268006033,0.3847277615543171,0.41425045315884734,0.5796596852073959,0.3235325930948172,0.45935345872502065,0.38145611332741475,0.4318781536487391,1.2881062338637836,0.3205429272975705,0.38444911569429335,1.7404727231963775,0.41410359237992966,0.4004869010176349,0.466961049571097,0.35076217958271677,0.4052632914926088,0.5697474982574016,0.5075866898238487
MA22,0.45004841166942466,0.4138102929716698,0.37385560064061685,0.39382774596867115,0.46117669123518557,0.4282468518274126,0.46566975112421016,0.6410866439570715,0.3718152569216899,0.519703465061154,0.4289628721286534,0.5129471217238161,1.5188242426756469,0.35814090966458034,0.423163309092366,2.1817539765847824,0.4470911931036017,0.46557042233877693,0.4890221576737379,0.4015403828507509,0.43840773408366823,0.6538810893698117,0.583570278303059
HAR,0.3756557314962086,0.3494556297281672,0.34826705865211527,0.32269006147522544,0.3983798671389717,0.3918345869861056,0.3864819654102685,5.473689568709776,0.3967526505419927,0.40730166384618327,0.3616659277720806,0.3919729821943968,0.6923525533147556,0.29739531392836105,0.34790814285403326,0.2782005442822949,0.4588720358317138,0.32107050987954044,0.6197698811214012,0.39855089608629635,0.3644417598787983,0.4758489868925152,0.6299344690009637
HAR-J,0.37363185742681165,0.8881830708493382,0.6764886600806554,0.322838227328279,0.3886039320365861,0.4167903752148303,0.42774852628953436,5.80861076255719,0.391741526523066,0.7096508752144453,0.34954526572958666,0.39289225020329555,0.7120966818117629,1.3565123025467123,0.5726888416940504,0.29573544310582656,0.5922826966401183,0.321245959093798,1.435116604353525,0.3948080078098769,0.6230108669400516,0.4778316201431105,0.8149115615269298
HAR-CJ,0.40397716194002187,1.1433239940102933,0.6958744273342649,0.32269855766682554,0.3921932150025155,1.9461005920404046,0.4618911864716999,5.830241083035191,0.41448067149271783,0.7502199329185878,0.8208288886986947,0.6149459269252227,1.0417857972956999,1.3684165282977034,0.5945850798751275,0.2954155242778329,0.6043591238101838,0.7828138083877236,1.692517772910981,0.4052537845414985,0.63095329244226,0.49875686133764235,0.9868924186687771
