model,Equities (8),Crypto — 4 coins,Crypto — 22 coins,Futures — rates (FV/TY),Futures — commodity (8),Futures — equity-index (ES/NQ),Futures — fx (EU),Futures — all (13),FX — major (7),FX — secondary/EM (6),FX — all (13)
RW,0/8,0/4,2/22,–,–,–,–,–,–,–,–
HistMean,0/8,0/4,1/22,–,–,–,–,–,–,–,–
MA22,0/8,0/4,1/22,–,1/8,–,–,1/13,–,–,–
EWMA,0/8,0/4,1/22,–,1/8,–,–,1/13,–,1/6,1/13
AR1Log,0/8,3/4,17/22,–,1/8,–,–,1/13,1/7,–,1/13
ARFIMA,0/8,–,–,–,2/8,–,–,2/13,1/7,–,1/13
HAR,2/8,0/4,3/22,–,1/8,–,–,1/13,–,1/6,1/13
LogHAR,8/8,4/4,18/22,–,4/8,–,–,4/13,2/7,3/6,5/13
HAR-J,n/c,–,2/22,–,2/8,–,–,2/13,–,2/6,2/13
LogHAR-J,n/c,–,20/22,–,3/8,–,–,3/13,1/7,3/6,4/13
HAR-CJ,n/c,–,2/22,–,2/8,–,–,2/13,–,2/6,2/13
LogHAR-CJ,n/c,–,21/22,2/2,8/8,–,1/1,11/13,6/7,6/6,12/13
SHAR,n/c,–,3/22,–,1/8,–,–,1/13,–,–,–
LogSHAR,n/c,–,18/22,–,3/8,2/2,–,5/13,2/7,3/6,5/13
HARQ,sim-only,0/4,5/22,–,2/8,–,–,2/13,–,–,–
GBRT,1/8,0/4,11/22,–,3/8,–,–,3/13,–,–,–
