,C,CL,ES,EU,FV,GC,HG,NG,NQ,S,SI,TY,W,avg_QLIKE
LogSHAR,0.11290815680103496,0.18743946867453698,0.3003764718343913,0.08374220503871646,0.12490306539254502,0.1828335416158961,0.11299372888462612,0.10935651791480636,0.22394059409207867,0.09304531664569678,0.12657467778168535,0.10495980652690001,0.07757886813399444,0.14158864764130066
LogHAR-CJ,0.10247747476551104,0.20373917502575845,0.3039081693770215,0.07948774065445977,0.1210006204443114,0.18475342984353796,0.11979985013046933,0.1024145768671908,0.22590988831451522,0.09517444130174578,0.12567796676953125,0.10089709165473763,0.07748462103975111,0.1417480804760416
LogHAR,0.11369274731694334,0.18784309049290712,0.30365319076511943,0.0842165302226163,0.12582661780024323,0.1831011430399829,0.1131520642696612,0.11101772118108816,0.2256301258447529,0.09348721576187104,0.1267459056428204,0.10565675070701722,0.07725082545708134,0.1424056868078542
ARFIMA,0.11291205030048189,0.2362422214599901,0.31521818113195477,0.09366464258831918,0.14197127543224067,0.16317117272225026,0.12532731136897127,0.11279446410486915,0.24366746331471745,0.09518847735874444,0.13840867972748627,0.11360796022433442,0.08722853321858992,0.1522617256117654
GBRT,0.10723167892171628,0.3003955098988686,0.33369533925811584,0.08740897975632805,0.14040065579741698,0.16746224279767052,0.12719655803269833,0.11573252632581336,0.2511000565561771,0.0981336350448896,0.1435191215735206,0.10755083217652917,0.0811859929991095,0.15853947147221956
EWMA,0.1368785229962901,0.2204459057265171,0.42766633362976597,0.0933076508674922,0.13561563568865098,0.13557378214128316,0.12144363167973747,0.14370680851318599,0.2977695463514591,0.11596281914810468,0.1376996515544548,0.11907222586324673,0.08702388014085952,0.16708972263854216
AR1Log,0.1425788816531321,0.25467351212912864,0.3169117151813272,0.10785729419660141,0.1739515968500588,0.21502773847893197,0.1358403093807853,0.1387730180444316,0.2542563264496467,0.10975135341733058,0.1642996986321845,0.13221576714988345,0.1318075793621963,0.17522652237889527
MA22,0.15401047772496654,0.20924059910049428,0.45033329085794016,0.10515274958192324,0.14848348720655669,0.14935034451088516,0.1325804585705872,0.14118449519392473,0.31322425941672616,0.12787902062300674,0.14825925889363728,0.1325324976261251,0.09396520990648263,0.17739970378563508
HAR,0.1407162090081183,0.22361023617326822,0.3240051036317437,0.08988371796085007,0.1534110697063895,1.223104895868117,0.12411045954412124,0.1442248467650606,0.24441823450693304,0.11184252814273463,0.1527282316465215,0.119972788295782,0.09194795561318689,0.24184432898944824
SHAR,0.14043231247954735,0.38267636962182117,0.32124732535090417,0.08965654343209661,0.1519751424280717,2.0820471819096964,0.12421013027505119,0.1366507743818865,0.24086152029491326,0.11114412332675207,0.15261955715280132,0.11943742327341886,0.09214691680819208,0.3188542554411656
LogHAR-J,0.11161316949084212,2.511536621458958,0.30491283297541694,0.0829690153131719,0.1243343079350854,0.18045729636906885,0.14225634442289697,0.11167804928955016,0.22561869550772629,0.09253993153451094,0.12676694190111948,0.10413855821757458,0.07728624130161187,0.3227775389013487
HistMean,0.2114730213483657,0.914270837844475,0.5167458371494841,0.20219110995111245,0.30207537858577926,1.3043401651996236,0.20248940935840512,0.29486641031595134,0.40695509119336704,0.1445451682348277,0.3370045250094872,0.20596499122584153,0.16675172544527528,0.40074412852784574
RW,0.4030969461628748,0.30612764454146213,0.7173970997588935,0.21393621186581155,0.3620057706227734,0.2951223084091116,0.20251415098627293,0.2200532032383274,0.6115730662626011,0.28532975775156955,0.24938446457112412,0.29195692928698186,1.7923538807202086,0.4577578026290779
HARQ,0.13565725009768642,5.20538236219735,0.9335007829999918,0.1244894498096521,0.1499868647795339,1.0181695472072132,0.2139311300866974,0.16884495197028668,0.3298638928045059,0.1324577168729416,0.20827218452002466,0.12155831389431775,0.08841023996881077,0.6792711297853086
HAR-J,0.130905952259565,2.5410732361197175,0.32453788786404997,0.08889631532412287,0.14905161373226916,6.471533866458653,0.1232569381752394,0.1266820708143557,0.24277879278854764,0.10954659823553715,0.1533274866361266,0.11710202552357528,0.09031079382921228,0.8206925829046903
HAR-CJ,0.11657034109064782,4.358542823696809,2.172718600053612,0.08851088420367036,0.14604743674307746,8.95354193341718,0.1314402511475091,0.11895628649984735,0.24885010085893308,0.10592903575349719,0.15423742479201163,0.11551828712203453,0.09024281618597217,1.292392786274216
