,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDJPY,USDKRW,USDNOK,USDPLN,USDSEK,USDSGD,ZARUSD,avg_QLIKE
LogSHAR,0.08179844116089731,0.07867610662862312,0.09275531989249633,0.07233300934228154,0.0630907273915513,0.20020433656191897,0.17416535386043142,0.15379000220603858,0.06797165624985425,0.06284108616808634,0.06369763676019233,0.06642035570528926,0.08683465655404987,0.09727528372936235
LogHAR,0.0824247839742388,0.07893992725899934,0.09339083999591016,0.07284607373443998,0.06365006328448786,0.201483276786662,0.17446026794139852,0.15383414601128412,0.06868762488782755,0.06317543161192525,0.06399497721723514,0.06683682774217316,0.08809176901008872,0.0978320007274362
GBRT,0.08513778129237834,0.0831190499021074,0.10022178574539338,0.07405346408752359,0.07018932722509642,0.2191688161137924,0.18227107747794957,0.15757849736586876,0.08171707174410725,0.06969507247442612,0.0682614302597479,0.07296882210016203,0.09340842090921764,0.10444543205367471
ARFIMA,0.09542716288198166,0.09421707731551883,0.10453649088177008,0.08301248094696158,0.0770547953135218,0.20922095462786194,0.18395533458848362,0.1714746489430851,0.08223739621996046,0.073610771204058,0.07351149999092699,0.08281983438590652,0.10429463555286471,0.11041331406560778
EWMA,0.09801213345202463,0.08910607882007403,0.11608854029410835,0.0836030067272632,0.07288343607955863,0.23218988785370773,0.19859682096504996,0.1595551291917238,0.084459914512214,0.08015580124732825,0.07679817895970778,0.07709469639723318,0.09980291476717354,0.11294973378978208
SHAR,0.09908487957927867,0.08635345605471177,0.10946145098480156,0.08007988854642278,0.0694579285317833,0.3121866306223553,0.21537566116485113,0.1814599012161082,0.07343417650475755,0.07241546623981936,0.06711773420012206,0.06818843764246303,0.09219302470603624,0.11744681815334701
HAR,0.09249630199742093,0.08636598739403394,0.1103210658138272,0.08010283287003152,0.06977857748477163,0.3171148949158759,0.21785445831180172,0.1816069642376892,0.07374483029187702,0.07217338136100314,0.06690768009778746,0.06841062935526233,0.09346489291912291,0.1177186536192696
LogHAR-J,0.08217983470704344,0.07763593950958314,0.09635846813123757,0.0718075833785604,0.06281673559740066,0.48859907807623726,0.17361420279717382,0.15359940939662892,0.07010680198228726,0.06272008063737146,0.0633548750448169,0.06639382072630454,0.08786087804966285,0.11977290061802372
MA22,0.1050674604898929,0.09749642866881002,0.13053700308970512,0.09241797246534889,0.07885334788067282,0.23445316175334935,0.2198369608320783,0.17118674699662897,0.09259254065487911,0.08856119424108767,0.083327703962907,0.08471442049308421,0.11116790445385785,0.12232406507556172
LogHAR-CJ,0.08053020846407337,0.07707684070394337,0.09065145233911279,0.07119699169390446,0.06293993007303636,0.538387836669654,0.17243438912410144,0.16055162761052172,0.06759525325347222,0.06197112571757422,0.061809135680525006,0.06558599604441463,0.08817793943467281,0.1229929789853082
AR1Log,0.10774606279418124,0.11052193288195136,0.11198158426191189,0.09718695515755656,0.09621080495023536,0.2117942798941312,0.20441843948169175,0.204561661634221,0.08967006009854318,0.08486370069485429,0.08376854057401785,0.0910025907228977,0.11902574127345186,0.12405787341689578
HAR-J,0.09728930304456194,0.08475758171838235,0.14004512583772097,0.07844902470636629,0.06903343722604849,0.5610706796347732,0.21666922274367154,0.18196683625501409,0.07318333051095925,0.0712442641873603,0.06500279353741485,0.06740602631621061,0.09282237118633416,0.1383799997619091
HARQ,0.10686167429613684,0.15055619457513247,0.3682411069822098,0.09006231045094182,0.06764437103321597,0.5935013291537797,0.26392396530439904,0.17719050299861852,0.1573724476627407,0.068095558557042,0.09153782579841449,0.06775566419540703,0.1383165552337258,0.1800815004801357
RW,0.16838386931095925,0.17257483559160233,0.15371637762265175,0.15399080215122687,0.14035414459984583,0.28068124204497946,0.35148258695451295,0.3866128689934388,0.12565755146897048,0.11045038473572107,0.1291046979128026,0.1381140930431118,0.1897476853993691,0.19237470306378399
HAR-CJ,0.10373763423872127,0.0857728102583911,0.3209394161766043,0.0801719578678049,0.07180856348732348,1.7099417556867431,0.21878542084004673,0.18257904604070313,0.09973202229931359,0.07235714298260194,0.06512349102590943,0.06702293786999974,0.0932377905706495,0.24393922994960096
HistMean,0.2332233369980156,0.24944493237926324,0.2555816239869771,0.21173090072437578,0.25649092783979044,0.3835727086650865,0.3390180002158909,0.27173993058477636,0.2342441329662767,0.2686626157763917,0.1867287880906366,0.1989376604597756,0.18393654242198407,0.25179323854686464
